NPC_ID,特征,服务效率,资源状态,对比,时间
1001,35级·铁匠·主城广场,"玩家交互:120次/日\n装备修理:85单/日\n定制订单:3单/周","金币储备:8500\n稀有矿石:剩余12块\n普通材料:充足","优于70%同等级铁匠（交互频率更高）",2025-01
1002,28级·炼金术士·法师塔,"玩家交互:65次/日\n药水售卖:200瓶/周\n配方研究:2次/月","魔力药剂:库存45瓶\n稀有草药:剩余8株","药水售罄率高于同类15%",2025-01
1003,42级·任务发布官·冒险者公会,"任务发放:18个/日\n玩家完成率:72%\n隐藏任务触发:1次/月","任务卷轴:库存120份\n赏金池:5600金币","任务完成率低于公会平均8%",2025-01
1004,30级·守卫队长·城门,"巡逻路线:4条/日\n击退土匪:6次/周\n玩家求助:3次/日","守卫士气:78%\n装备耐久:剩余60%","治安维护效率优于同类20%",2025-01
1005,45级·旅店老板·集市,"住客接待:25人/日\n餐饮服务:80份/日\n特殊事件:1次/月","食材库存:新鲜度82%\n客房空置:2间/8间","住客满意度高于区域平均15%",2025-01
1006,38级·法师训练师·魔法学院,"技能教学:15次/日\n学徒考核:4人/月\n法术研究:1项/季度","魔法书:剩余23册\n训练道具:消耗7件/周","教学效率低于学院同类12%",2025-01
1007,25级·猎人导师·森林营地,"狩猎指导:8次/日\n陷阱布置:3处/周\n野兽驯化:1只/月","箭矢库存:200支\n皮料储备:35张","指导效率优于80%同区域导师",2025-01
1008,33级·杂货商人·市场,"商品种类:45种\n日交易额:1200金币\n进货频率:2次/周","库存周转:7天\n滞销品:5件","利润率低于同类商人8%",2025-01
1009,40级·盗贼训练师·暗巷,"潜行教学:6次/日\n盗窃任务:3单/周\n情报交易:8次/日","暗影尘:库存18份\n开锁器:消耗12件/月","学员任务完成率高于同类10%",2025-01
1010,50级·牧师·神殿,"治疗服务:30次/日\n驱魔仪式:2次/周\n信徒布道:1次/日","圣水:库存55瓶\n祈祷卷轴:剩余18份","治疗效率低于高阶牧师平均15%",2025-01
1001,35级·铁匠·主城广场,"玩家交互:125次/日\n装备修理:88单/日\n定制订单:4单/周","金币储备:9200\n稀有矿石:剩余10块\n普通材料:充足","优于72%同等级铁匠（交互频率提升）",2025-02
1002,28级·炼金术士·法师塔,"玩家交互:68次/日\n药水售卖:210瓶/周\n配方研究:1次/月","魔力药剂:库存40瓶\n稀有草药:剩余6株","药水售罄率高于同类18%",2025-02
1003,42级·任务发布官·冒险者公会,"任务发放:17个/日\n玩家完成率:70%\n隐藏任务触发:0次/月","任务卷轴:库存110份\n赏金池:5200金币","任务完成率低于公会平均10%",2025-02
1004,30级·守卫队长·城门,"巡逻路线:4条/日\n击退土匪:7次/周\n玩家求助:4次/日","守卫士气:75%\n装备耐久:剩余55%","治安维护效率优于同类18%",2025-02
1005,45级·旅店老板·集市,"住客接待:28人/日\n餐饮服务:85份/日\n特殊事件:0次/月","食材库存:新鲜度80%\n客房空置:3间/8间","住客满意度高于区域平均12%",2025-02
